Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
497,,Clarinet,Reed Instruments,"Contrabass clarinet in Bb, of maple wood painted brown, with nickel alloy keys, simple system,  nickel alloy crook and upturned bell. With ebony mouthpiece with reed tied on with string.",,Maple Wood PlantNickel Alloy MetalEbony Wood Plant,Max L = 1120 mm  Max Diam [bell] = 170 mm  ,,"UK, England, London",F. Besson,post 1890,Display Case 9,Philip Bate,,ex Carse collection,[on ribbon:] 50 MEDALS OF HONOUR [monogram] F. BESSON LONDON [star] patented RMSM 1 [on bell],"Contrabass or pedal clarinet in Bb, Fontaine Besson, London, post-1890, maple. Simple-system, covered action, without brille. ex Royal Military School of Music, ex Carse Collection. 497 [display label]",,"Anthony Baines, European and American Music Instruments, p. 653",Collections Image 07-02-2013,,yes,"Fair condition. Metal tarnished, wood dirty between the keys, the paint is abraded in places.",Elin Bornemann [07/02/2013]
"497
",,Basset Horn,Reed Instruments,"Basset horn, of cocus wood, with nickel alloy keys, simple system,  nickel alloy crook and upturned bell. With plastic mouthpiece with reed tied on with string.",,Maple Wood PlantNickel Alloy MetalPlastic Synthetic,Max L = 850 mm  Max Diam [bell] = 108 mm  ,,"Germany, Speyer",Berthold,second half 19th century,Display Case 9,Philip Bate,,bought by Philip Bate in 1936/37 from 'Vasco the Mad Musician',[star] BERTHOLD SPEYER F,"Basset horn, Georg Berthold, Speyer-am-Rhein, second half of the 19th century, cocus. German simple-system. Formerly owned by ""Vasco the Mad Musician"". a music hall act. 486 [display label]",,,Collections Image 07-02-2013,,probably not,"Fair condition. Metal tarnished, with spots of oxidation. One key not working, others probably leaking. Bottom of the bell bashed in and split.",Elin Bornemann [07/02/2013]
1181,,Transverse Flute,Flutes,"Transverse flute, metal. With modifications by previous owner who had lost the right index finger.",,MetalPlastic Synthetic,Max L = 692 mm  Max W = 160 mm  ,,"UK, England, London","Rudall, Carte & Co.",20th century,Display Case 7,A. McCombie,04/02/2000,per Robert Bigio,Rudall Carte & Co. Ltd.  23 Berners Street London W.  7445,,not to be played,,Collections Image 07-02-2013,,no,Good condition.,Elin Bornemann [07/02/2013]
200,,Oboe,Reed Instruments,"Oboe of boxwood, with three silver keys and ivory mounts. The keys are incised with rosettes.With bulb top. An old crack in the upper joint has been repaired with brass butterflies.",,Boxwood PlantSilver MetalIvory Tooth AnimalBrass Metal,Max L [without reed] = 595 mm  Max Diam [bell] = 66 mm  ,,"UK, England?",anon,c.1890,Display Case 9,Philip Bate,,Galpin; Eric Halfpenny,,"3 key, anon, probably English, c. 1890, tortoiseshell stained boxwood. The oldest oboe in Britain, known as 'The Galpin Oboe'. ex Galpin & Halfpenny collections. 200 [display label]",There are two statements about the acoustic measure: 'lowest note C @ A = 396 Hz (Bruce Haynes) or 403'.,"Galpin Society Journal II
Galpin Society Exhibition 1951",Collections Image 11-02-2013,,yes,Good condition.,Elin Bornemann [07/02/2013]
2037,,Oboe,Reed Instruments,"Oboe of ebony, with three silver keys and fluted ivory mounts. The keys are incised with figures. With bulb top.",,Ebony Wood PlantSilver MetalIvory Tooth Animal,Max L = 570 mm  Max Diam [bell] = 60 mm  ,,"Netherlands, Amsterdam",Hendrik Richters,c.1700,Display Case 9,purchased for the collection,,,,"3 key, Hendrik Richters, Amsterdam, c. 1700, ebony and ivory. Purchased with the aid of the National Art Collections Fund (Mrs. Beatrice N. Stuart Bequest), the Museums Purchase Grant Fund, the Hulme Surplus Fund, and many private donors. 2037 [display label]",There are two statements about the acoustic measure: 'lowest note C @ A = 396 Hz (Bruce Haynes) or 403'.,,Collections Image 11-02-2013,,no,"Fair condition. Keys not working, bell ring cracked, ivory top chipped.",Elin Bornemann [07/02/2013]
2040,,Oboe,Reed Instruments,"Oboe of boxwood stained dark, with three brass keys and silver bell ring. With bulb top.",,Boxwood PlantSilver MetalBrass Metal,Max L = 560 mm  Max Diam [bell] = 55 mm  ,,"Netherlands, Amsterdam",Hendrik Richters,c.1700,Display Case 9,purchased for the collection,,,,"3 key, Hendrik Richters, Amsterdam, c. 1700, boxwood. Purchased with the aid of the Hulme Fund, and many Friends of the Bate Collection. 2040 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Two keys not working, bell cracked and chipped, top chipped.",Elin Bornemann [07/02/2013]
292,,Oboe,Reed Instruments,"Oboe of boxwood, with three brass keys. With bulb top.",,Boxwood PlantBrass Metal,Max L = 584 mm  Max Diam [bell] = 55 mm  ,,Germany,anon,c.1760,Display Case 9,Edgar Hunt,February 1983,,,"3 key, anon, transitional German c. 1760, boxwood. Edgar Hunt Accession. 292 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),"Good condition, but brass tarnished.",Elin Bornemann [07/02/2013]
22,,Oboe,Reed Instruments,"Oboe of boxwood, with three brass keys and ivory ferrules and bell ring. With bulb top.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 573 mm  Max Diam [bell] = 55 mm  ,lowest note C,"France, Strasbourg",Keller,c.1760,Display Case 9,Philip Bate,08/06/1972,,[fleur de lys] KELLER [star] A STRASBOURG [star] [on bell and lower joint]  PORTHAUX A PARIS [on upper joint],"3 key, Keller, Strasbourg, c. 1760, boxwood. Upper joint by Porthaux, Paris. 22 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Cracks in the bell and the ferrule above it. One of the keypads is stuck to the wood, blocking the hole.",Elin Bornemann [07/02/2013]
204,,Oboe,Reed Instruments,"Oboe of boxwood, with three brass keys and ivory ferrules. Made up from joints of three different oboes (bell from oboe d'amore).",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 520 mm  Max Diam [bell] = 60 mm  ,lowest note C,Germany/ Netherlands,anon/ Sattler/ Knikker,prob. second half 18th century,Display Case 9,Philip Bate,1974,,[crown] SATTLER 6 [on lower joint]  I.V.D. KNIKKER TILBURGH [star] [on bell],"3 key, upper joint unmarked, lower joint Sattler, with oboe d'amore bell, Johannes van der Knikker, Tilburgh, boxwood. 204 [display label]",,,Collections Image 11-02-2013,,possibly [needs reed],Good condition.,Elin Bornemann [07/02/2013]
2,,Oboe,Reed Instruments,"Oboe of ivory, originally with three silver keys, four silver keys added later. With bulb top.",,Ivory Tooth AnimalSilver Metal,Max L = 580 mm  Max Diam [bell] = 55 mm  ,lowest note C @ A = 408 Hz or 415 Hz,France?,Debey,early 18th century,Display Case 9,bought for the collection,,"Wellcome, Van Raalte, Rose",No. 1 DEBEY [cross],"3 key, Debey, early 18th century, ivory. 4 further keys added. ex van Raalte & Wellcome collections. 2 [display label]",,"Philip Bate, The Oboe, plate 3",Collections Image 12-02-2013,,possibly [needs reed],"Fair condition, cracks in upper and lower joints.",Elin Bornemann [07/02/2013]
x205,,Oboe,Reed Instruments,"Oboe of boxwood stained dark, with two silver keys, ivory ferrules and bell ring. With straight top.",,Boxwood PlantSilver MetalIvory Tooth Animal,Max L = 585 mm  Max Diam [bell] = 60 mm  ,lowest note C ,"UK, England, London",Bland & Weller,c.1800,Display Case 9,"lent by Holy Cross Church, Ampney Crucis",,,A BLAND & E WELLER NO. 23 OXFORD STREET ,"2 key, Bland & Weller, London, c. 1800, boxwood. Lent by the Churchwardens of Holy Cross Church, Ampney Crucis. x205 [display label]",,,Collections Image 11-02-2013,,possibly [needs reed],"Fair condition, bell ring cracked, bell damaged.",Elin Bornemann [07/02/2013]
201,,Oboe,Reed Instruments,"Oboe of maple wood, with two brass keys. With bulb top.",,Maple Wood PlantBrass Metal,Max L = 600 mm  Max Diam [bell] = 55 mm  ,lowest note C @ A = 395 Hz or 407,"France, Paris",Charles Bizey,first half 18th century,Display Case 10,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,[fleur de lys] BIZEY,"2 key, Charles Bizey, Paris, first half 18th century, maplewood. Morley-Pegge gift. 201 [display label]",,,Collections Image 11-02-2013,,possibly [needs reed],"Fair condition, bell cracked, brass tarnished.",Elin Bornemann [07/02/2013]
2013,,Oboe,Reed Instruments,"Oboe of boxwood, with two silver keys and ivory mounts. With bulb top.",,Boxwood PlantSilver Metal,Max L = 574 mm  Max Diam [bell] = 63 mm  ,lowest note C @ A = 427 Hz,"UK, England, London",Thomas Cahusac,second half 18th century,Display Case 10,bought for the collection,,bought from Paul Davis who bought it at Sotheby's James MacGillivray sale,CAHUSAC LONDON,"2 key, Thomas Cahusac the elder, London, second half 18th century, stained boxwood and ivory. ex James MacGillivray Collection. Purchased with help of Hulme Surplus Fund. 2013 [display label]",,,Collections Image 11-02-2013,,possibly [needs reed],"Fair condition, bell cracked, a small piece of wood has broken off the bell and glued back on. Silver tarnished.",Elin Bornemann [07/02/2013]
27,,Oboe,Reed Instruments,"Oboe of boxwood, with three silver keys and ivory bell ring. With bulb top.",,Boxwood PlantSilver MetalIvory Tooth Animal,Max L = 567 mm  Max Diam [bell] = 60 mm  ,lowest note C @ A = 425-430 Hz,"UK, England, London",William Milhouse,early 19th century,Display Case 10,Philip Bate,,,W. MILHOUSE LONDON [on all joints]  W. PARKE INVR [on one key],"2 key, William Milhouse, London, early, 19th century, boxwood. Long C# key engraved 'W. Parke Invr.'. 27 [display label]",,"Philip Bate, The Oboe, plate 4
Anthony Baines, European and American Music Instruments, p. 566",Collections Image 11-02-2013,,possibly [needs reed],"Fair condition, bell and bell ring cracked, top slightly chipped.",Elin Bornemann [07/02/2013]
20,,Oboe,Reed Instruments,"Oboe of reddish-brown, very light wood (cedar?), with three silver keys and silver ferrules and bell ring. With bulb top. There appears to have been a fourth key for one of the bell vents which is now missing.",,Cedar Wood Plant?Silver Metal,Max L = 571 mm  Max Diam [bell] = 60 mm  ,lowest note B @ A = 425-430 Hz,"France, Paris",Christophe Delusse,c.1785,Display Case 10,Philip Bate,,,[crown] C DELUSSE [star] 2 [on upper joint]  [crown] C DELUSSE [star] [star] A PARIS [star] [on lower joint],"3 key, Christophe Delusse, Paris, c. 1785, cedarwood. 20 [display label]","acoustic measure was originally Lowest note C, presumably when the key for the bell vent was still present.","Anthony Baines, European and American Music Instruments, p. 565",Collections Image 11-02-2013,,possibly (needs reed),"Fair condition, one key missing, silver tarnished.",Elin Bornemann [07/02/2013]
2015,,Oboe,Reed Instruments,"Oboe of boxwood, with four silver keys. With bulb top. ",,Boxwood PlantSilver Metal,Max L = 575 mm  Max Diam [bell] = 66 mm  ,lowest note C,"Germany, Dresden",Jakob Friedrich Grundmann & Johann Friedrich Floth,1800,Display Case 10,bought for the collection,,bought from Tony Bingham; ex Van Tright collection,[crossed swords] GRUNDMANN ET FLOTH DRESDEN 1800 [two stars],"4 key, Jakob Friedrich Grundmann & Johann Friedrich Floth, Dresden, 1800, boxwood. ex Van Tright collection. Purchased Hulme Surplus Fund. 2015 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),"Good condition, but silver tarnished.",Elin Bornemann [08/02/2013]
x23,,Oboe,Reed Instruments,"Oboe of boxwood, with six brass keys and one ivory ferrule. With bulb top. ",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 563 mm  Max Diam [bell] = 57 mm  ,lowest note C,"UK, England, London",Wood & Ivy,c.1840,Display Case 10,Anthony Baines,04/03/2002,,Wood & Ivy LATE Geo Wood NEW COMPTON STRT 50 SOHO LONDON [emblem],"6 key, Wood & Ivy, London, c. 1840, boxwood. With C, Eb, F, G#, Bb and speaker keys. Anthony Baines Bequest. x23 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Bell cracked. One keypad is stuck to the wood, blocking the hole.",Elin Bornemann [08/02/2013]
209,,Oboe,Reed Instruments,"Oboe of ebony, with seven silver keys, ivory ferrules and bell ring. With bulb top. With a second upper joint for a different pitch.",,Ebony Wood PlantSilver MetalIvory Tooth Animal,Max L = 570 mm  Max Diam [bell] = 63 mm   Max L second joint = 235 mm,lowest note C @ A = 435 & 440 Hz,"Germany, Hamburg",Gebrder Hartmann,first half 19th century,Display Case 10,Philip Bate,,,[star] GEBR. HARTMANN HAMBURG [star],"7 key, Gehrhard Hartmann, Hamburg, first half 19th century, ebony. 209 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),Fair condition. Bell ring cracked. Silver tarnished.,Elin Bornemann [08/02/2013]
222,,Oboe,Reed Instruments,"Oboe of boxwood, with seven silver keys, ivory ferrules and bell ring. With bulb top. ",,Boxwood PlantSilver MetalIvory Tooth Animal,Max L = 570 mm  Max Diam [bell] = 63 mm  ,lowest note C @ A = 430 Hz,"France, Paris",Nicolas Winnen,early 19th century,Display Case 10,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,"[star] [sun] WINNEN A PARIS [on all joints, top joint also numbered 1]","7 key, NIcholas Winnen, Paris, early 19th century, boxwood. Morley-Pegge gift. 222 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),"Good condition, but silver tarnished.",Elin Bornemann [08/02/2013]
215,,Oboe,Reed Instruments,"Oboe of cocus wood, with eight silver keys and silver ferrules. With bulb top.",,Cocus Wood PlantSilver Metal,Max L = 558 mm  Max Diam [bell] = 59 mm  ,lowest note C @ A = 440 Hz,"UK, England, London",Henry Wylde,c.1840,Display Case 10,Philip Bate,,ex Mickleborough collection,[coat of arms] WYLDE FROM RUDALL & ROSE 25 VILLIERS ST STRAND LONDON,"8 key, Henry Wylde, London, c. 1840, cocus. ex Mickleborough collection. 215 [display label]",,"Philip Bate, The Oboe, plate 4",Collections Image 11-02-2013,,no,"Fair condition. One key not working, bell cracked. Some dust.",Elin Bornemann [08/02/2013]
208,,Oboe,Reed Instruments,"Oboe of cocus wood, with eight silver keys and silver ferrules. With bulb top.",,Cocus Wood PlantSilver MetalIvory Tooth Animal,Max L = 558 mm  Max Diam [bell] = 60 mm  ,lowest note C @ A = 437 Hz,"UK, England, London",Goodlad,pre 1830,Display Case 10,Philip Bate,,,[lyre] GOODLAD 25 VILLIERS ST STRAND LONDON,"8 key, Goodlad, London, pre-1830, cocus. 208 [display label]",,,Collections Image 11-02-2013,,probably (needs reed),"Good condition, but silver tarnished, and some dirt and dust.",Elin Bornemann [08/02/2013]
219,,Oboe,Reed Instruments,"Oboe of boxwood, with eight brass keys and ivory ferrules and bell ring. With bulb top.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 558 mm  Max Diam [bell] = 57 mm  ,lowest note C @ A = 435 Hz,"France, Paris",Tribert,c.1845,Display Case 10,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,[castle] TRIEBERT A PARIS,"8 key, Tribert, Paris, c. 1845, boxwood. Morley-Pegge Gift. 219 [display label]",,"Philip T. Young, The Look Of Music: rare musical instruments 1500-1900, p. 231",Collections Image 11-02-2013,,no,Fair condition. A piece has broken out of the bell and has been glued back on. Some keys not working. Dirt and dust on the wood.,Elin Bornemann [08/02/2013]
212,,Oboe,Reed Instruments,"Oboe of boxwood, originally with eight brass keys, two more added later, and ivory ferrules and bell ring. With bulb top.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 558 mm  Max Diam [bell] = 57 mm  ,lowest note B @ A = 435 Hz,"France, Paris",Tribert,c.1845,Display Case 10,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,[castle] TRIEBERT A PARIS,"8 key, Tribert, Paris, c. 1845, boxwood. ex Morley-Pegge collection. 212 [display label]","This instrument was part of the Morley-Pegge collection, but appears not to be part of the Morley-Pegge gift. Old database only notes 'ex Morley-Pegge' in the Source field.","Galpin Society Edinburgh Exhibition Catalogue, 1968
Anthony Baines, European and American Music Instruments, p. 571",Collections Image 11-02-2013,,possibly (needs reed),Fair condition. Bell ring cracked and chipped. Some dust.,Elin Bornemann [08/02/2013]
220,,Oboe,Reed Instruments,"Oboe of boxwood, with eight brass keys, and ivory ferrules and bell ring. One of the vents in the bell is closed with an ivory plug. With bulb top.",,Boxwood PlantBrass MetalIvory Tooth Animal,Max L = 558 mm  Max Diam [bell] = 60 mm  ,lowest note B @ A = 435 Hz,"France, Paris",Tribert,c.1845,Display Case 10,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,[castle] TRIEBERT A PARIS,"8 key, Tribert, Paris, c. 1845, boxwood. Morley-Pegge Gift. 220 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Bell ring cracked, one key not working.",Elin Bornemann [08/02/2013]
230,,Oboe,Reed Instruments,"Oboe of cocus wood, with nickel alloy keys, simple system, nickel alloy ferrules and bell ring, and nickel alloy thumbrest.",,Cocus Wood PlantNickel Alloy Metal,Max L = 575 mm  Max Diam [bell] = 60 mm  ,lowest note B ,"Germany, Hannover",Heinrich Friedrich Meyer,c.1870,Display Case 10,Philip Bate,,,[crown] H.F. MEYER HANNOVER,"Heinrich Friedrich Meyer, Hannover, c. 1870, cocus. 230 [display label]",,Galpin Society Edinburgh Exhibition Catalogue 1968,Collections Image 11-02-2013,,possibly (needs reed),"Good condition, but some oxidation on the keys.",Elin Bornemann [08/02/2013]
235,,Oboe,Reed Instruments,"Oboe of boxwood stained dark, with nine silver keys and brille, silver ferrules and bell ring and silver thumbrest. With bulb top.",,Boxwood PlantSilver Metal,Max L = 557 mm  Max Diam [bell] = 55 mm  ,lowest note B ,"France, Paris",Tribert,c.1845,Display Case 10,Philip Bate,,,[castle] TRIEBERT A PARIS,"Tribert, Paris, c. 1845, boxwood. Morley-Pegge has suggested that Brod was the maker. 235 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),Fair condition. Upper joint has been pinned to repair cracks. Silver tarnished.,Elin Bornemann [08/02/2013]
242,,Oboe,Reed Instruments,"Oboe of maple wood, with silver keys, systme 3, silver ferrules and bell ring and silver thumbrest. With bulb top.",,Maple Wood PlantSilver Metal,Max L = 562 mm  Max Diam [bell] = 58 mm  ,lowest note B ,"France, Paris",Jean Louis Tulou,pre 1865,Display Case 10,Reginald Morley-Pegge Memorial Gift,13/06/1972,given via William Morley-Pegge,[bird] TULOU PARIS,"Jean-Louis Tulou, Paris, pre-1865, maple. Morley-Pegge Gift. 242 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),Fair condition. Some dirt on the the wood. Green felt is sticking to the bottom of the bell.,Elin Bornemann [08/02/2013]
294,,Oboe,Reed Instruments,"Oboe of rosewood, with nickel alloy keys, simple system, nickel alloy ferrules and thumbrest. Bell ring missing.",,Rosewood PlantNickel Alloy Metal,Max L = 545 mm  Max Diam [bell] = 55 mm  ,,"UK, England, London",John Henry Ebblewhite,1896-1916,Display Case 10,Edgar Hunt,February 1983,,J.H. EBBLEWHITE MAKER 4&5 HIGH ST ALDGATE LONDON,"John Henry Ebblewhite, London, rosewood. Simple system. Edgar Hunt Accession. 294 [display label]",,,Collections Image 11-02-2013,,no,Fair condition. Some keys not working. Short crack in the lower joint.,Elin Bornemann [08/02/2013]
225,,Oboe,Reed Instruments,"Oboe of grenadillo wood, with nickel alloy keys, systme 3, nickel alloy ferrules, bell ring and thumbrest. ",,Grenadillo Wood PlantNickel Alloy Metal,Max L = 558 mm  Max Diam [bell] = 55 mm  ,lowest note B,"France, Paris",Gautrot,post 1878,Display Case 10,Philip Bate,,,[on banner:] EXPOSITION UNIVERSELLE DE PARIS [crown and circle with number in it] HORS CONCOURS MEMBRE DU JURY [oval emblem]  GAUTROT AINE BREVETE A PARIS S.G.D.G.  [in dotted oval:] CARILLO HERMANOS RONDA ,"Gautrot ain, Paris, post-1878, blackwood. Systme 3. 225 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),Fair condition. Oxidation on keys and ferrules. Crack in the upper joint. Dirty.,Elin Bornemann [08/02/2013]
226,,Oboe,Reed Instruments,"Oboe of wood (maple?), with nickel alloy keys, simple system, nickel alloy ferrules, bell ring and thumbrest. ",,Maple Wood Plant?Nickel Alloy Metal,Max L = 542 mm  Max Diam [bell] = 62 mm  ,lowest note B,"Germany, Wiesbaden, Biebrich",Heckel,post 1881,Display Case 10,Philip Bate,,,[crown] Heckel Biebrich [crown],"Heckel, Biebrich, maple. Simple system with automatic octaves. 226 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Some keys not working, keys tarnished. Bell ring split, faint crack in the bell, and dirt on the bell.",Elin Bornemann [08/02/2013]
232,,Oboe,Reed Instruments,"Oboe of rosewood, with nickel alloy keys, approximately systme 4, nickel alloy ferrules, bell ring and thumbrest. ",,Rosewood PlantNickel Alloy Metal,Max L = 555 mm  Max Diam [bell] = 64 mm  ,lowest note B,"France, Paris",Remy-Genin,first half 19th century,Display Case 10,Philip Bate,,,REMY-GENIN A PARIS,"Marked Rmy-Genin, Paris, but probably by Tribert, rosewood. Approximately Systme 4. 232 [display label]",,,Collections Image 11-02-2013,,possibly (needs reed),"Fair condition. Metal tarnished, dirt on the wood.",Elin Bornemann [08/02/2013]
231,,Oboe,Reed Instruments,"Oboe of black wood, with nickel alloy keys, simple system, nickel alloy ferrules, bell ring and thumbrest. ",,Wood PlantNickel Alloy Metal,Max L = 540 mm  Max Diam [bell] = 55 mm  ,lowest note B,"UK, England, London",Alfred Morton,c.1890,Display Case 10,Philip Bate,,,A. MORTON & SONS LONDON [three-cornered shape with monogram],"A. Morton & Sons, London, c. 1890, blackwood. Simple system with thumb plate. 231 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Some keys not working, spots of oxidation on the metal.",Elin Bornemann [08/02/2013]
x244,,Oboe,Reed Instruments,"Oboe of cocus wood, with silver keys, thumbplate system, silver ferrules, bell ring and thumbrest. ",,Cocus Wood PlantSilver Metal,Max L = 600 mm  Max Diam [bell] = 52 mm  ,,"France, Paris",Lore,prob. first half 20th century,Display Case 10,Patricia Baines,,,F. LOREE [star] PARIS,"Lore, Paris, cocus. Thumbplate system. dd Patricia Baines. x244 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Some keys not working, Silver tarnished, varnish has flaked off in places.",Elin Bornemann [08/02/2013]
223,,Oboe,Reed Instruments,"Oboe of rosewood, with silver keys, conservatoire system, silver ferrules, bell ring and thumbrest. ",,Rosewood PlantSilver Metal,Max L = 575 mm  Max Diam [bell] = 52 mm  ,lowest note Bb,"Belgium, Brussels",Jacques Albert,first half 20th century,Display Case 10,Philip Bate,,,[star] JACQUES ALBERT  BRUXELLES [star],"Jacques Albert, Brussels, first half 20th century, rosewood. Conservatoire system with automatic octaves. 223 [display label]",,,Collections Image 11-02-2013,,no,"Fair condition. Some keys not working, Silver tarnished, dirt on the wood.",Elin Bornemann [08/02/2013]
x246,,Oboe,Reed Instruments,"Oboe of rosewood, with silver keys, thumbplate system, silver ferrules, bell ring and thumbrest. In original case including a textile outer cover and tools for cleaning.",,Rosewood PlantSilver MetalTextileLeather Skin Animal,Max L = 595 mm  Max Diam [bell] = 50 mm  ,,"UK, England, London",T.W. Howarth,20th century,Display Case 10,Patricia Baines,,,HOWARTH & CO. MAKER LONDON BRITISH MADE 1006,"T.W. Howarth, London, rosewood. Thumb-plate system. dd Patricia Baines. x246 [display label]",,,Collections Image 12-02-2013,,no,"Fair condition. Some keys not working, Silver tarnished, dirt on the wood.",Elin Bornemann [11/02/2013]
2006,,Oboe PartBox,Reed Instruments,"Case of wood, tortoiseshell and silver, with hinged lid, inside are slots for six oboe reeds.",,Tortoiseshell AnimalSilver MetalWood Plant,Max H = 83 mm  Max W = 45 mm  ,,unknown,anon,prob. 18th century,Display Case 9,Edgar Hunt,February 1983,,,"Case for six oboe reeds, probably 18th century, silver and tortoiseshell. Edgar Hunt Accession. 2006 [display label]",,,Collections Image 12-02-2013,,no,Good condition.,Elin Bornemann [11/02/2013]
2036,,Oboe PartMute,Reed Instruments,Oboe mute of dark wood.,,Wood Plant,Max L = 75 mm  Max Diam = 25 mm  ,,unknown,anon,late 18th century,Display Case 10,found unentered,,,,"Oboe mute, anon, probably English, late 18th century. 2036 [display label]",,,Collections Image 12-02-2013,,no,Good condition.,Elin Bornemann [11/02/2013]
x2012,,Oboe PartMute,Reed Instruments,"Oboe mute of dark wood, wound with yellow thread.",,Wood PlantYarn,Max L = 70 mm  Max Diam = 25 mm  ,,unknown,anon,18th century,Display Case 10,Anthony Baines,04/03/2002,,,"Oboe mute, 18th century. Anthony Baines Bequest. x2012 [display label]",,,Collections Image 12-02-2013,,no,Good condition.,Elin Bornemann [11/02/2013]
x838s,,Tuning Fork,Equipment,Tuning fork of steel on a wooden stand.,,Steel MetalWood Plant,Max L = 265 mm  Max W = 50 mm  ,C = 125 Hz,unknown,anon,20th century,Display Case 10,Philip Bate,,,125 Hz,"Two scientific TUNING FORKS at C = 125 and 128 Hz, the latter by Ragg, Sheffield. Lent by Philip Bate. x838 s & t. [display label]",,,Collections Image 12-02-2013,,yes,Good condition.,Elin Bornemann [11/02/2013]
x838t,,Tuning Fork,Equipment,Tuning fork of steel.,,Steel Metal,Max L = 220 mm  Max W = 25 mm  ,C = 128 Hz,"UK, England, Sheffield",Ragg,20th century,Display Case 10,Philip Bate,,,ENGLAND RAGG CO 128,"Two scientific TUNING FORKS at C = 125 and 128 Hz, the latter by Ragg, Sheffield. Lent by Philip Bate. x838 s & t. [display label]",,,Collections Image 12-02-2013,,yes,Good condition.,Elin Bornemann [11/02/2013]
836,,Tuning Fork,Equipment,Set of tuning forks of steel in original case.,,Steel Metal,Max L [longest] = 145 mm  Max L [shortest] = 120 mm,chromatic set @ A = 439 Hz,"UK, England, Sheffield",John Walker,20th century,Display Case 10,A.A. Fowler,purchased,,"NEW PHILHARMONIC JOHN WALKER [on each fork] [individual forks are marked:] C, C#, D, D#, E, F, F#, G, G#, A, A#, B, C","Chromatic set of tuning forks, John Walker (Ragg), Sheffield, at New Philharmonic pitch, A = 439 Hz. Purchased. 836 a-m [display label]",,,Collections Image 12-02-2013,,yes,Good condition.,Elin Bornemann [11/02/2013]
10123,,Dorje,Miscellaneous Non-Instruments,"Dorje, Tibetan ritual object symbolising a thunderbolt, made of brass.",,Brass Metal,Max L = 113 mm   Max W =  40 mm,,Tibet,anon,,Display Case 10,Colonel S. Montagu Cleeve,,,,"Thunderbolt, Dor-je. dd.S. Montagu Cleeve. [display label]","given at the same time as 673 and 674, but not entered in the catalogue. Possibly from the same place, i.e. Guru Gompa Monastery, Ghoom, nr. Darjeeling.",,Collections Image 12-02-2013,,no,Good condition.,Elin Bornemann [11/02/2013]
276,,XirimiaOboeShawm,Reed Instruments,"Xirimia, a type of oboe or shawm, of wood (Ziziphus jujuba, a shrub of the buckthorn family), with silver keys, simple system, with four vents in the bell.",,Wood PlantSilver Metal,Max L = 570 mm   Max Diam [bell] =  80 mm,lowest note A,"Spain, Catalonia, Gerona",anon,20th century,Display Case 10,Christopher Baines,13/05/1992,,,"Tiple de Xirimia, anon. Simple system treble shawm used in the Catalan Sardana bands (coblas). Lent Christopher Baines. x276 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),"Fair condition. Silver tarnished, wood abraded in places.",Elin Bornemann [11/02/2013]
2014,,Pi NaiOboe,Reed Instruments,"Pi nai, quadruple reed oboe of Thailand, of wood, made in one piece. Reed missing.",,Wood Plant,Max L = 432 mm   Max Diam [bell] =  47 mm,,Thailand,anon,,Workroom - A2 - Box 31,Anthony Baines,04/03/2002,,sticker with Thai writing,"Pi nai, Thailand. Missing both reed and staple. 2014 [display label]",,,,,possibly (needs reed),Good condition.,Elin Bornemann [11/02/2013]
